Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
core_10.txt,63,103,si,OK,0.038994,0.058485985
core_11.txt,69,113,si,OK,0.043373,0.067801476
core_12.txt,75,123,si,OK,0.03658,0.077708244
core_13.txt,81,133,si,OK,0.040498,0.088347435
core_14.txt,87,143,si,OK,0.042501,0.09971905
core_15.txt,93,153,si,OK,0.044836,0.11182308
core_16.txt,99,163,si,OK,0.048824,0.12465954
core_17.txt,105,173,si,OK,0.053121999999999996,0.13847256
core_18.txt,111,183,si,OK,0.060025,0.15277386
core_19.txt,117,193,si,OK,0.059294,0.16780758
core_20.txt,123,203,si,OK,0.06271,0.18357372
core_21.txt,129,213,si,OK,0.06805,0.20007229
core_22.txt,135,223,si,OK,0.07465300000000001,0.21730328
core_23.txt,141,233,si,OK,0.076226,0.23526669
core_24.txt,147,243,si,OK,0.08021400000000001,0.25396252
core_25.txt,153,253,si,OK,0.087147,0.27339077
core_26.txt,159,263,si,OK,0.09243699999999999,0.29355145
core_27.txt,165,273,si,OK,0.09383999999999999,0.31444454
core_28.txt,171,283,si,OK,0.09982100000000001,0.33607006
core_29.txt,177,293,si,OK,0.102757,0.358428
core_30.txt,183,303,si,OK,0.108337,0.38151836
core_31.txt,189,313,si,OK,0.12232399999999999,0.40534115
core_32.txt,195,323,si,OK,0.136131,0.42989635
core_33.txt,201,333,si,OK,0.145339,0.45567226
core_34.txt,207,343,si,OK,0.147532,0.4816923
core_35.txt,213,353,si,OK,0.159926,0.5084448
core_36.txt,219,363,si,OK,0.16757100000000003,0.5359297
core_37.txt,225,373,si,OK,0.175315,0.564147
core_38.txt,231,383,si,OK,0.18562599999999999,0.59309673
core_39.txt,237,393,si,OK,0.200464,0.6227789
core_40.txt,243,403,si,OK,0.206075,0.6531935
core_41.txt,249,413,si,OK,0.219741,0.6843405
core_42.txt,255,423,si,OK,0.233768,0.7162199
core_43.txt,261,433,si,OK,0.237294,0.74883175
core_44.txt,267,443,si,OK,0.24813500000000002,0.782176
core_45.txt,273,453,si,OK,0.290937,0.8162527
core_46.txt,279,463,si,OK,0.311647,0.8510618
core_47.txt,285,473,si,OK,0.295526,0.88660336
core_48.txt,291,483,si,OK,0.30826,0.9228773
core_49.txt,297,493,si,OK,0.333659,0.9598837
core_50.txt,303,503,si,OK,0.358576,0.9975691
