Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
dp_10.txt,44,75,fpi,OK,0.408059,0.01556778
dp_11.txt,48,82,fpi,OK,0.7359060000000001,0.01651764
dp_12.txt,52,89,fpi,OK,1.402818,0.017326355
dp_13.txt,56,96,fpi,OK,2.653847,0.01813507
dp_14.txt,60,103,fpi,OK,4.816847,0.018943787
dp_15.txt,64,110,fpi,OK,9.189857,0.019752502
dp_16.txt,68,117,fpi,OK,17.159654,0.02129364
dp_17.txt,72,124,fpi,OK,30.828582,0.022102356
dp_18.txt,76,131,fpi,OK,56.444101,0.022911072
dp_19.txt,80,138,fpi,OK,89.96301,0.023719788
dp_20.txt,84,145,fpi,OK,171.093345,0.024528503
dp_21.txt,88,152,fpi,OK,325.866929,0.02533722
dp_22.txt,92,159,fpi,OK,599.343035,0.026145935
dp_23.txt,96,166,fpi,OK,1117.5752080000002,0.02695465
dp_24.txt,100,173,fpi,OK,1958.013095,0.027763367
dp_25.txt,104,180,fpi,OK,3831.516695,0.028572083
dp_26.txt,108,187,fpi,OK,7325.997368,0.029380798
dp_27.txt,112,194,fpi,OK,15465.893287,0.030189514
dp_28.txt,116,201,fpi,OK,25409.241038,0.03099823
dp_29.txt,120,208,fpi,OK,47259.365839,0.031806946
dp_30.txt,124,215,fpi,OK,89664.910954,0.03261566
