Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
dp_10.txt,44,75,ptl,OK,2.331993,0.14047241
dp_11.txt,48,82,ptl,OK,2.0871750000000002,0.15067291
dp_12.txt,52,89,ptl,OK,2.338045,0.1609993
dp_13.txt,56,96,ptl,OK,2.633889,0.17301178
dp_14.txt,60,103,ptl,OK,3.2635810000000003,0.19195938
dp_15.txt,64,110,ptl,OK,3.9264469999999996,0.20706177
dp_16.txt,68,117,ptl,OK,4.413247,0.2244606
dp_17.txt,72,124,ptl,OK,4.582119,0.2430191
dp_18.txt,76,131,ptl,OK,5.618668,0.26417923
dp_19.txt,80,138,ptl,OK,5.641843,0.28656006
dp_20.txt,84,145,ptl,OK,6.095309,0.32155228
dp_21.txt,88,152,ptl,OK,7.177595,0.34828186
dp_22.txt,92,159,ptl,OK,7.743095,0.3777809
dp_23.txt,96,166,ptl,OK,8.476505000000001,0.40890503
dp_24.txt,100,173,ptl,OK,8.73081,0.44337845
dp_25.txt,104,180,ptl,OK,10.109484,0.47940826
dp_26.txt,108,187,ptl,OK,10.901536,0.5190315
dp_27.txt,112,194,ptl,OK,13.7318,0.56036377
dp_28.txt,116,201,ptl,OK,13.526919,0.60551834
dp_29.txt,120,208,ptl,OK,13.265259,0.6802826
dp_30.txt,124,215,ptl,OK,12.531518,0.7230873
dp_31.txt,128,222,ptl,OK,12.68953,0.7760925
dp_32.txt,132,229,ptl,OK,13.746128,0.83340836
dp_33.txt,136,236,ptl,OK,14.548048,0.8927994
dp_34.txt,140,243,ptl,OK,16.089743,0.9568672
dp_35.txt,144,250,ptl,OK,16.555321000000003,1.0230103
dp_36.txt,148,257,ptl,OK,17.148183,1.0940742
dp_37.txt,152,264,ptl,OK,19.789376,1.1673355
dp_38.txt,156,271,ptl,OK,16.97326,1.2457619
dp_39.txt,160,278,ptl,OK,20.721316,1.3265076
dp_40.txt,164,285,ptl,OK,22.135647000000002,1.4126625
dp_41.txt,168,292,ptl,OK,22.838679,1.5012589
dp_42.txt,172,299,ptl,OK,23.849369,1.6554413
dp_43.txt,176,306,ptl,OK,27.519517,1.7313843
dp_44.txt,180,313,ptl,OK,26.571807999999997,1.834095
dp_45.txt,184,320,ptl,OK,28.245442999999998,1.9394913
dp_46.txt,188,327,ptl,OK,29.327218,2.0510292
dp_47.txt,192,334,ptl,OK,28.902808,2.1653748
dp_48.txt,196,341,ptl,OK,30.689199000000002,2.286106
dp_49.txt,200,348,ptl,OK,34.154035,2.4097672
dp_50.txt,204,355,ptl,OK,34.616308,2.5400085
