Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
dp_10.txt,44,75,spm,OK,4.704816,0.019233704
dp_11.txt,48,82,spm,OK,10.071133,0.021591187
dp_12.txt,52,89,spm,OK,23.794694000000003,0.022403717
dp_13.txt,56,96,spm,OK,51.640899,0.024864197
dp_14.txt,60,103,spm,OK,109.354113,0.025951385
dp_15.txt,64,110,spm,OK,200.354741,0.028625488
dp_16.txt,68,117,spm,OK,468.56411199999997,0.03017044
dp_17.txt,72,124,spm,OK,1005.9743649999999,0.0331192
dp_18.txt,76,131,spm,OK,2393.5811080000003,0.033931732
dp_19.txt,80,138,spm,OK,5088.4847979999995,0.037124634
dp_20.txt,84,145,spm,OK,11974.205882,0.037937164
dp_21.txt,88,152,spm,OK,26764.398778,0.041374207
dp_22.txt,92,159,spm,OK,60190.710205,0.042186737
