Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
dp_10.txt,44,75,tl,OK,0.10914800000000001,0.05351925
dp_11.txt,48,82,tl,OK,0.11332600000000001,0.06291866
dp_12.txt,52,89,tl,OK,0.12798400000000001,0.0739851
dp_13.txt,56,96,tl,OK,0.15205000000000002,0.085967064
dp_14.txt,60,103,tl,OK,0.169514,0.10488415
dp_15.txt,64,110,tl,OK,0.195773,0.11995602
dp_16.txt,68,117,tl,OK,0.236532,0.13732433
dp_17.txt,72,124,tl,OK,0.259876,0.15585232
dp_18.txt,76,131,tl,OK,0.291126,0.17698193
dp_19.txt,80,138,tl,OK,0.331283,0.19933224
dp_20.txt,84,145,tl,OK,0.384464,0.23429394
dp_21.txt,88,152,tl,OK,0.459717,0.2608328
dp_22.txt,92,159,tl,OK,0.484054,0.29046154
dp_23.txt,96,166,tl,OK,0.5337989999999999,0.32155514
dp_24.txt,100,173,tl,OK,0.594065,0.35598278
dp_25.txt,104,180,tl,OK,0.661252,0.39199734
dp_26.txt,108,187,tl,OK,0.73847,0.43159008
dp_27.txt,112,194,tl,OK,0.804086,0.4728918
dp_28.txt,116,201,tl,OK,0.969271,0.51801586
dp_29.txt,120,208,tl,OK,0.975032,0.5935736
dp_30.txt,124,215,tl,OK,1.059153,0.6355238
dp_31.txt,128,222,tl,OK,1.1588919999999998,0.6884985
dp_32.txt,132,229,tl,OK,1.27235,0.7457838
dp_33.txt,136,236,tl,OK,1.3618510000000001,0.8051443
dp_34.txt,140,243,tl,OK,1.541894,0.86921215
dp_35.txt,144,250,tl,OK,1.573544,0.93532467
dp_36.txt,148,257,tl,OK,1.7424870000000001,1.0063581
dp_37.txt,152,264,tl,OK,1.836627,1.0795889
dp_38.txt,156,271,tl,OK,1.963559,1.1579847
dp_39.txt,160,278,tl,OK,2.218977,1.2386999
dp_40.txt,164,285,tl,OK,2.25727,1.3248243
dp_41.txt,168,292,tl,OK,2.428417,1.4133902
dp_42.txt,172,299,tl,OK,2.648006,1.5687323
dp_43.txt,176,306,tl,OK,2.764819,1.6434546
dp_44.txt,180,313,tl,OK,3.005578,1.7461348
dp_45.txt,184,320,tl,OK,3.176866,1.8515005
dp_46.txt,188,327,tl,OK,3.327915,1.9630079
dp_47.txt,192,334,tl,OK,3.667863,2.077323
dp_48.txt,196,341,tl,OK,3.8304430000000003,2.1980238
dp_49.txt,200,348,tl,OK,3.9255560000000003,2.3216543
dp_50.txt,204,355,tl,OK,4.286545,2.4518652
