Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
dp_10.txt,44,75,zlk,OK,0.562606,0.036891937
dp_11.txt,48,82,zlk,OK,0.8730600000000001,0.042243958
dp_12.txt,52,89,zlk,OK,1.457929,0.047092438
dp_13.txt,56,96,zlk,OK,2.3203080000000003,0.05305481
dp_14.txt,60,103,zlk,OK,3.838102,0.058418274
dp_15.txt,64,110,zlk,OK,6.301595,0.06513214
dp_16.txt,68,117,zlk,OK,11.321327,0.07101059
dp_17.txt,72,124,zlk,OK,18.314694,0.07847595
dp_18.txt,76,131,zlk,OK,29.917169,0.084869385
dp_19.txt,80,138,zlk,OK,48.852661,0.09308624
dp_20.txt,84,145,zlk,OK,67.966345,0.100543976
dp_21.txt,88,152,zlk,OK,102.777213,0.109573364
dp_22.txt,92,159,zlk,OK,168.075604,0.11748505
dp_23.txt,96,166,zlk,OK,285.276128,0.12732697
dp_24.txt,100,173,zlk,OK,460.18028300000003,0.1356926
dp_25.txt,104,180,zlk,OK,750.087571,0.14634705
dp_26.txt,108,187,zlk,OK,1237.548019,0.15516663
dp_27.txt,112,194,zlk,OK,2014.8168750000002,0.1666336
dp_28.txt,116,201,zlk,OK,3303.9690840000003,0.17590714
dp_29.txt,120,208,zlk,OK,5497.5102959999995,0.18818665
dp_30.txt,124,215,zlk,OK,8824.264489000001,0.19792938
dp_31.txt,128,222,zlk,OK,14495.418409999998,0.21100616
dp_32.txt,132,229,zlk,OK,26244.508136,0.22132492
dp_33.txt,136,236,zlk,OK,42787.647819,0.23509216
dp_34.txt,140,243,zlk,OK,70803.10355500001,0.24598694
