Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
m_10.txt,33,63,spm,OK,0.453264,0.061564445
m_11.txt,36,69,spm,OK,0.722408,0.10748005
m_12.txt,39,75,spm,OK,1.268349,0.2045393
m_13.txt,42,81,spm,OK,2.395549,0.2037592
m_14.txt,45,87,spm,OK,4.270486,0.3944311
m_15.txt,48,93,spm,OK,7.299193,0.3934374
m_16.txt,51,99,spm,OK,11.157053,0.77200603
m_17.txt,54,105,spm,OK,15.41278,1.5185099
m_18.txt,57,111,spm,OK,22.524606,3.024764
m_19.txt,60,117,spm,OK,35.514003,3.0216646
m_20.txt,63,123,spm,OK,49.559214,6.027705
m_21.txt,66,129,spm,OK,65.893653,6.024728
m_22.txt,69,135,spm,OK,105.47768,12.030829
m_23.txt,72,141,spm,OK,163.30161,24.023518
m_24.txt,75,147,spm,OK,258.496756,48.034138
m_25.txt,78,153,spm,OK,376.476292,48.02722
m_26.txt,81,159,spm,OK,589.7556050000001,96.03763
m_27.txt,84,165,spm,OK,870.16119,96.03012
m_28.txt,87,171,spm,OK,1418.768961,192.0413
m_29.txt,90,177,spm,OK,2037.084916,192.03442
m_30.txt,93,183,spm,OK,3333.09757,384.04517
m_31.txt,96,189,spm,OK,4887.047065,384.03775
m_32.txt,99,195,spm,OK,7707.293295,768.0492
m_33.txt,102,201,spm,OK,11177.388114,1536.0316
m_34.txt,105,207,spm,OK,18688.898719,3072.0535
m_35.txt,108,213,spm,OK,25682.746782,3072.0364
m_36.txt,111,219,spm,OK,42671.478413000004,6144.0576
m_37.txt,114,225,spm,OK,60624.024091,6144.041
