Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
m_10.txt,33,63,tl,OK,0.016382,0.017665863
m_11.txt,36,69,tl,OK,0.014328,0.023067474
m_12.txt,39,75,tl,OK,0.011101,0.020385742
m_13.txt,42,81,tl,OK,0.015028999999999999,0.026950836
m_14.txt,45,87,tl,OK,0.014387,0.023147583
m_15.txt,48,93,tl,OK,0.016401000000000002,0.031200409
m_16.txt,51,99,tl,OK,0.013616,0.02609253
m_17.txt,54,105,tl,OK,0.02098,0.037036896
m_18.txt,57,111,tl,OK,0.016201,0.029830933
m_19.txt,60,117,tl,OK,0.021521,0.04201889
m_20.txt,63,123,tl,OK,0.017393000000000002,0.03314209
m_21.txt,66,129,tl,OK,0.024507,0.047367096
m_22.txt,69,135,tl,OK,0.020009000000000002,0.036636353
m_23.txt,72,141,tl,OK,0.025018,0.053081512
m_24.txt,75,147,tl,OK,0.021762,0.04031372
m_25.txt,78,153,tl,OK,0.028805,0.05916214
m_26.txt,81,159,tl,OK,0.023455,0.044174194
m_27.txt,84,165,tl,OK,0.027552,0.06560898
m_28.txt,87,171,tl,OK,0.02631,0.048217773
m_29.txt,90,177,tl,OK,0.034516,0.07242203
m_30.txt,93,183,tl,OK,0.032221,0.052444458
m_31.txt,96,189,tl,OK,0.035638,0.07960129
m_32.txt,99,195,tl,OK,0.031038999999999997,0.05689621
m_33.txt,102,201,tl,OK,0.045437,0.089588165
m_34.txt,105,207,tl,OK,0.034967,0.06266785
m_35.txt,108,213,tl,OK,0.039585,0.09749985
m_36.txt,111,219,tl,OK,0.039375999999999994,0.06744385
m_37.txt,114,225,tl,OK,0.043532999999999995,0.10577774
m_38.txt,117,231,tl,OK,0.037271000000000006,0.072402954
m_39.txt,120,237,tl,OK,0.044655,0.114421844
m_40.txt,123,243,tl,OK,0.042602,0.077545166
m_41.txt,126,249,tl,OK,0.050657,0.12343216
m_42.txt,129,255,tl,OK,0.043964,0.08287048
m_43.txt,132,261,tl,OK,0.054123,0.13280869
m_44.txt,135,267,tl,OK,0.050636,0.088378906
m_45.txt,138,273,tl,OK,0.060385,0.14255142
m_46.txt,141,279,tl,OK,0.052651,0.094070435
m_47.txt,144,285,tl,OK,0.070736,0.15266037
m_48.txt,147,291,tl,OK,0.056939,0.09994507
m_49.txt,150,297,tl,OK,0.064904,0.16313553
m_50.txt,153,303,tl,OK,0.057219,0.105955124
