Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
Random_1,10000,26019,tl,OK,2.535369,2.8036108
Random_1,10000,26019,zlk,OK,3.154624,3.0003614
Random_1,10000,26019,pzlk,OK,4.124023,3.2121153
Random_1,10000,26019,si,OK,4054.178686,1527.2354
Random_1,10000,26019,ptl,OK,5.101396,2.8974218
Random_2,10000,25724,tl,OK,1.987971,2.8301
Random_2,10000,25724,zlk,OK,2.190535,3.6698904
Random_2,10000,25724,pzlk,OK,3.610459,3.795165
Random_2,10000,25724,si,OK,4476.198208,1528.3774
Random_2,10000,25724,ptl,OK,4.972694,2.866599
Random_3,10000,25998,tl,OK,3.0313309999999998,2.8314505
Random_3,10000,25998,zlk,OK,4.414294,6.6604834
Random_3,10000,25998,pzlk,OK,8.513962,6.8111715
Random_3,10000,25998,si,OK,4552.469881,1528.3787
Random_3,10000,25998,ptl,OK,7.449423,2.8678503
Random_4,10000,25928,tl,OK,2.282931,2.8318167
Random_4,10000,25928,zlk,OK,2.275929,3.2110052
Random_4,10000,25928,pzlk,OK,3.659042,3.3559332
Random_4,10000,25928,si,OK,5466.32603,1528.2266
Random_4,10000,25928,ptl,OK,6.148186,2.8318396
Random_5,10000,25589,tl,OK,2.694943,2.8335485
Random_5,10000,25589,zlk,OK,8.514475000000001,5.012336
Random_5,10000,25589,pzlk,OK,11.771976,5.137946
Random_5,10000,25589,si,OK,4213.583552,1528.378
Random_5,10000,25589,ptl,OK,6.0797170000000005,2.867179
Random_6,10000,25885,tl,OK,2.940189,2.8324041
Random_6,10000,25885,zlk,OK,4.7821549999999995,4.3086767
Random_6,10000,25885,pzlk,OK,5.976942,4.433936
Random_6,10000,25885,si,OK,4504.239523,1528.3796
Random_6,10000,25885,ptl,OK,6.754157999999999,2.8687353
Random_7,10000,25832,tl,OK,2.173073,2.9437475
Random_7,10000,25832,zlk,OK,3.030812,3.571784
Random_7,10000,25832,pzlk,OK,4.076827,3.697547
Random_7,10000,25832,si,OK,4469.0017849999995,1528.378
Random_7,10000,25832,ptl,OK,6.016679,2.9584646
Random_8,10000,25591,tl,OK,1.838399,2.831542
Random_8,10000,25591,zlk,OK,1.842988,2.9221334
Random_8,10000,25591,pzlk,OK,2.859627,3.0471563
Random_8,10000,25591,si,OK,4166.971515,1528.0718
Random_8,10000,25591,ptl,OK,4.973861,2.8661413
Random_9,10000,25821,tl,OK,1.84921,2.831954
Random_9,10000,25821,zlk,OK,2.51302,3.3779974
Random_9,10000,25821,pzlk,OK,4.083741,3.5030127
Random_9,10000,25821,si,OK,4407.941887,1528.3787
Random_9,10000,25821,ptl,OK,4.686806,2.8319464
Random_10,10000,25859,tl,OK,3.039289,2.8387747
Random_10,10000,25859,zlk,OK,4.598799,4.68904
Random_10,10000,25859,pzlk,OK,7.262656,4.8145514
Random_10,10000,25859,si,OK,4282.194217,1528.0737
Random_10,10000,25859,ptl,OK,7.735134,2.9596548
Random_11,10000,25843,tl,OK,2.342707,2.8310308
Random_11,10000,25843,zlk,OK,2.446534,3.2588491
Random_11,10000,25843,pzlk,OK,4.076799,3.408805
Random_11,10000,25843,si,OK,4213.283088,1528.3783
Random_11,10000,25843,ptl,OK,6.027432999999999,2.8310232
Random_12,10000,25793,tl,OK,3.716916,2.8323889
Random_12,10000,25793,zlk,OK,7.060353,5.81433
Random_12,10000,25793,pzlk,OK,9.893933,5.965369
Random_12,10000,25793,si,OK,4553.233459,1528.3018
