Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
symsi_10.txt,102,222,tl,OK,0.360548,0.22829819
symsi_11.txt,112,244,tl,OK,0.341392,0.27512932
symsi_12.txt,122,266,tl,OK,0.44253499999999996,0.3546028
symsi_13.txt,132,288,tl,OK,0.491548,0.415987
symsi_14.txt,142,310,tl,OK,0.6162160000000001,0.5026779
symsi_15.txt,152,332,tl,OK,0.697241,0.58400536
symsi_16.txt,162,354,tl,OK,0.849662,0.6988106
symsi_17.txt,172,376,tl,OK,1.008213,0.8175068
symsi_18.txt,182,398,tl,OK,1.160405,0.96056366
symsi_19.txt,192,420,tl,OK,1.317213,1.0789394
symsi_20.txt,202,442,tl,OK,1.5145810000000002,1.2452965
symsi_21.txt,212,464,tl,OK,1.834531,1.386301
symsi_22.txt,222,486,tl,OK,1.989256,1.590477
symsi_23.txt,232,508,tl,OK,2.174149,1.7563992
symsi_24.txt,242,530,tl,OK,2.5039480000000003,1.99963
symsi_25.txt,252,552,tl,OK,2.7111639999999997,2.2305393
symsi_26.txt,262,574,tl,OK,3.1510029999999998,2.5013428
symsi_27.txt,272,596,tl,OK,3.297433,2.7228985
symsi_28.txt,282,618,tl,OK,3.74688,3.0416527
symsi_29.txt,292,640,tl,OK,4.201047,3.3010654
symsi_30.txt,302,662,tl,OK,4.683207,3.6624756
symsi_31.txt,312,684,tl,OK,4.9010929999999995,3.9480572
symsi_32.txt,322,706,tl,OK,5.655122,4.3499184
symsi_33.txt,332,728,tl,OK,5.992917,4.6803455
symsi_34.txt,342,750,tl,OK,6.730843999999999,5.1475525
symsi_35.txt,352,772,tl,OK,7.195462,5.5068035
symsi_36.txt,362,794,tl,OK,7.964399,6.0964394
symsi_37.txt,372,816,tl,OK,8.647132000000001,6.4947987
symsi_38.txt,382,838,tl,OK,9.089886,7.053108
symsi_39.txt,392,860,tl,OK,9.938396000000001,7.492407
symsi_40.txt,402,882,tl,OK,10.739715,8.119053
symsi_41.txt,412,904,tl,OK,10.42764,8.60158
symsi_42.txt,422,926,tl,OK,10.239861,9.287117
symsi_43.txt,432,948,tl,OK,9.884603,9.814856
symsi_44.txt,442,970,tl,OK,10.666435,10.554516
symsi_45.txt,452,992,tl,OK,11.417689,11.129297
symsi_46.txt,462,1014,tl,OK,12.36719,11.972755
symsi_47.txt,472,1036,tl,OK,12.901810999999999,12.5968685
symsi_48.txt,482,1058,tl,OK,14.077755000000002,13.482067
symsi_49.txt,492,1080,tl,OK,14.844258,14.14773
symsi_50.txt,502,1102,tl,OK,16.110394,15.09432
