Game,Nodes,Edges,Algorithm,Status,Time_ms,Peak_Memory_MB
tc+_10.txt,1160,2350,si,OK,14.289041000000001,1.4237309
tc+_11.txt,1518,3080,si,OK,27.927491,1.9966383
tc+_12.txt,1944,3948,si,OK,38.619971,2.7349072
tc+_13.txt,2444,4966,si,OK,59.43798,3.6657772
tc+_14.txt,3024,6146,si,OK,74.544661,4.8055744
tc+_15.txt,3690,7500,si,OK,112.607469,6.1947336
tc+_16.txt,4448,9040,si,OK,176.124099,7.892565
tc+_17.txt,5304,10778,si,OK,235.160132,9.890263
tc+_18.txt,6264,12726,si,OK,300.778682,12.245672
tc+_19.txt,7334,14896,si,OK,443.591058,15.000281
tc+_20.txt,8520,17300,si,OK,612.750389,18.243917
tc+_21.txt,9828,19950,si,OK,946.715646,21.92798
tc+_22.txt,11264,22858,si,OK,1471.394218,26.146692
tc+_23.txt,12834,26036,si,OK,2088.372886,30.949596
tc+_24.txt,14544,29496,si,OK,3523.997275,36.396736
tc+_25.txt,16400,33250,si,OK,4445.605359,42.595085
tc+_26.txt,18408,37310,si,OK,7119.498266,49.509552
tc+_27.txt,20574,41688,si,OK,9080.477229,57.19643
tc+_28.txt,22904,46396,si,OK,11478.224801,65.748184
tc+_29.txt,25404,51446,si,OK,14185.322875,75.23877
tc+_30.txt,28080,56850,si,OK,18930.956069,85.71065
tc+_31.txt,30938,62620,si,OK,22792.884862000003,97.24218
tc+_32.txt,33984,68768,si,OK,27554.654528,110.09555
tc+_33.txt,37224,75306,si,OK,33252.322016,123.97363
tc+_34.txt,40664,82246,si,OK,39992.20236,139.12541
tc+_35.txt,44310,89600,si,OK,49222.950482,155.62732
tc+_36.txt,48168,97380,si,OK,57876.045496000006,173.55743
tc+_37.txt,52244,105598,si,OK,67737.25865500001,192.9961
